origins,destinations,path,free_flow_time,num_edges,total_length,mean_speed,pct_paved,pct_unpaved,pct_motorway,pct_trunk,pct_primary,pct_secondary,pct_tertiary,pct_unclassified,pct_residential,pct_lit,bearing_std,num_turns,num_bridges,num_tunnels,speed_std,speed_range,lane_changes,priority_changes,num_traffic_lights
-48796648#1,-1107401573#3,"-48796648#1,48796652,-48796646#0,-1152783642#0,48796681,48796682,48796667#0,48796667#1,-48796669,48796663#2,48796663#3,23735096#3,23735096#4,-23735103,382329292#0,382329292#1,27776735#0,27776735#2,27776735#3,868812840#0,868812840#1,1226745803#0,868812839#0,868812839#2,868812839#3,868812839#4,868812839#5,1107401572,1107401573#0,1107401573#1,1107401573#2,1107401573#3,-1107401573#3",2.1526416453973782,33.0,1589.5052101806014,47.27345454545455,1.0,0.0,0.0,0.0,0.6434052249596799,0.0,0.1533496370554719,0.0,0.053693933652745655,0.5111885516040588,69.14084463204244,12.0,6.0,0.0,9.77413309803902,50.004000000000005,2.0,38.0,5.0
-48796648#1,-1107401573#3,"-48796648#1,48796652,-48796646#0,-1152783642#0,48796681,48796682,48796667#0,48796667#1,-48796669,48796663#2,48796663#3,23735096#3,23735096#4,-23735103,382329292#0,382329292#1,27776735#0,27776735#2,27776735#3,868812840#0,868812840#1,1226745803#0,868812839#0,868812839#2,868812839#3,868812839#4,868812839#5,-1163555413#1,586232179,1107401573#0,1107401573#1,1107401573#2,1107401573#3,-1107401573#3",2.198273994809425,34.0,1673.0123610496978,47.353764705882355,1.0,0.0,0.0,0.0,0.6112901381608222,0.0,0.1456953055182693,0.0,0.10092808761991628,0.48567296038955554,67.53214066118534,12.0,6.0,0.0,9.636286028746113,50.004000000000005,2.0,70.0,5.0
-48796648#1,-1107401573#3,"-48796648#1,48796652,-48796646#0,-1152783642#0,48796681,48796682,48796667#0,48796667#1,-48796669,48796663#2,48796663#3,23735096#3,23735096#4,-23735103,382329292#0,382329292#1,27776735#0,27776735#2,27776735#3,868812840#0,868812840#1,1226745803#0,868812839#0,868812839#2,868812839#3,868812839#4,868812839#5,-1163555413#1,586232179,1107401573#0,-1107401573#0,1107401573#0,1107401573#1,1107401573#2,1107401573#3,-1107401573#3",2.435806992169636,36.0,1793.7280687540872,47.429485714285704,1.0,0.0,0.0,0.0,0.6374498369919749,0.0,0.1358901894467672,0.0,0.0941357506227306,0.5202865418234481,67.17891127221455,12.0,6.0,0.0,9.504081703239338,50.004000000000005,2.0,70.0,5.0
-36837547#3,60633863#0,"-36837547#3,-36837547#2,-36837547#1,-36837547#0,-36837545#0,36890490,-560656078,-59190683#1,-59190683#0,-36837428#0,-1047497682#1,23734986#1,23734986#2,23734968#4,23734968#0,23734999,30894016,30894015,640702027,1316233553,694483656-AddedOnRampEdge,694483656,560656083#1,560656083#2-AddedOnRampEdge,560656083#2,23735155#0,23735155#1,23735155#2,23735155#3,23735155#4,23735159#0,1157076157#0,1157076157#1,1164554901#1,1164554865,23735160#0,23735160#1,23735160#2,23735160#3,23735160#4,23735160#5,1157076172#0,1157076172#1,1157076172#2,144915713#0,144915713#1,144915713#2,144915713#3,144915713#4,144915713#5,144915723#8,144915723#1,144915723#2,60994109#0,60994109#1,60994109#2,60994109#3,60994109#4,60994109#5,60994109#6,60994109#7,60994109#8,60994109#9,60994109#10,-868819343,-60994211#5,-60994211#4,-60994211#3,-60994211#2,-60994211#1,-60994211#0,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,60633940#1,924947808,550905964#1,550905964#2,60633863#0",6.7980667256288205,94.0,4419.967871140033,46.809191489361694,0.873252280293247,0.0,0.0,0.0,0.4557898565449909,0.046419748464832745,0.06142170526109738,0.0,0.4025333239103394,0.16248608121202252,115.90459294308677,23.0,3.0,3.0,21.31196072544564,69.98400000000001,18.0,102.0,0.0
-36837547#3,60633863#0,"-36837547#3,-36837547#2,-36837547#1,-36837547#0,-36837545#0,36890490,-560656078,-59190683#1,-59190683#0,-36837428#0,-1047497682#1,23734986#1,23734986#2,23734968#4,23734968#0,23734999,30894016,30894015,640702027,1316233553,694483656-AddedOnRampEdge,694483656,560656083#1,560656083#2-AddedOnRampEdge,560656083#2,23735155#0,23735155#1,23735155#2,23735155#3,23735155#4,23735159#0,1157076157#0,1157076157#1,1164554901#1,1164554865,23735160#0,23735160#1,23735160#2,23735160#3,23735160#4,23735160#5,1157076172#0,1157076172#1,1157076172#2,144915713#0,144915713#1,144915713#2,144915713#3,144915713#4,144915713#5,144915723#8,144915723#1,144915723#2,60994109#0,60994109#1,60994109#2,60994109#3,60994109#4,60994109#5,60994109#6,60994109#7,60994109#8,1115538236,-1115538235#1,-1115538235#0,-60994211#5,-60994211#4,-60994211#3,-60994211#2,-60994211#1,-60994211#0,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,60633940#1,924947808,550905964#1,550905964#2,60633863#0",6.809678613004362,94.0,4373.400792151307,46.59625531914893,0.8719026964440334,0.0,0.0,0.0,0.45329296107298284,0.046914016471844136,0.06207571104205596,0.0,0.4035216735252084,0.16421619984005864,119.54435884175815,24.0,3.0,3.0,21.379583482135367,69.98400000000001,20.0,120.0,0.0
-36837547#3,60633863#0,"-36837547#3,-36837547#2,-36837547#1,-36837547#0,-36837545#0,36890490,-560656078,-59190683#1,-59190683#0,-36837428#0,-1047497682#1,23734986#1,23734986#2,23734968#4,23734968#0,23734999,30894016,30894015,640702027,1316233553,694483656-AddedOnRampEdge,694483656,560656083#1,560656083#2-AddedOnRampEdge,560656083#2,23735155#0,23735155#1,23735155#2,23735155#3,23735155#4,23735159#0,1157076157#0,1157076157#1,1164554901#1,1164554865,23735160#0,23735160#1,23735160#2,23735160#3,23735160#4,23735160#5,1157076172#0,1157076172#1,1157076172#2,144915713#0,144915713#1,144915713#2,144915713#3,144915713#4,144915713#5,144915723#8,144915723#1,144915723#2,60994109#0,60994109#1,60994109#2,60994109#3,60994109#4,60994109#5,60994109#6,60994109#7,60994109#8,1115538236,-1115538235#1,-1115538235#0,-60994211#5,-60994211#4,-60994211#3,-60994211#2,-60994211#1,-60994211#0,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,60633872#0,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,60633940#1,924947808,550905964#1,550905964#2,60633863#0",7.019289844105874,96.0,4473.716626865797,46.63212631578947,0.8747750705800537,0.0,0.0,0.0,0.4431286020952225,0.06828542283633042,0.0606837639680541,0.0,0.3944733548941224,0.16053391807422895,119.00872791307846,26.0,3.0,3.0,21.268432141817808,69.98400000000001,20.0,122.0,0.0
60681217#0,-23755759#4,"60681217#0,60681217#1,924729047#0,924729047#1,924729047#2,924729047#3,869772914,560656098#0,560656098#1,560656098#2,560656098#3,560656098#4,560656098#5,60681215#0,60681215#1,60681215#2,60681215#3,60681215#4,60681215#5,1155841369,1157076151,1157076152,1155841370,1157076153,60681232#0,60681232#1,60681232#2,60681232#3,-60681226#6,-60681226#5,-60681226#4,-60681226#3,-60681226#2,-60681226#1,-60681226#0,550900600#0,550900600#1,550900600#2,550900600#3,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,-60633921#1,-60633921#0,-1107401572,-868812839#6,-868812839#4,-868812839#3,-868812839#2,-868812839#1,-1226745803#1,-868812840#1,-868812840#0,382329291,51821547#0,51821547#2,51821547#3,23735209,23735104,23735095#0,23735095#2,23735095#3,23735095#4,23735091,988736350,988822530,1152783649,652870334#0,652870334#2,652870334#3,1152783645#0,1152783645#1,-1152783655,48796650#0,48796650#1,560544697#0,560544696#0,560544696#1,560544696#2,48796685#0,48796685#1,382329290#0,382329290#1,807975479,807975480#1,599926490,807975478,-560544694#2,599926489,23755936,640701960#0,-47335626#5,-47335626#4,-47335626#3,-47335626#2,-47335626#1,-47335626#0,-560550386#0,-23755759#4",6.822276456718563,114.0,4853.481638706587,43.510736842105274,0.9361884122898477,0.0,0.0,0.0,0.31951157157668986,0.029679078043869746,0.08209910900553832,0.0,0.5378970559207159,0.5120532979539143,132.46867274508438,40.0,4.0,0.0,10.726019104212913,29.988000000000007,17.0,160.0,8.0
60681217#0,-23755759#4,"60681217#0,60681217#1,924729047#0,924729047#1,924729047#2,924729047#3,869772914,560656098#0,560656098#1,560656098#2,560656098#3,560656098#4,560656098#5,60681215#0,60681215#1,60681215#2,60681215#3,60681215#4,60681215#5,1155841369,1157076151,1157076152,1155841370,1157076153,60681232#0,60681232#1,60681232#2,60681232#3,-60681226#6,-60681226#5,-60681226#4,-60681226#3,-60681226#2,-560656089,-1356134415,-60681199#3,-60681199#2,-60681199#1,-60681199#0,550900600#3,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,-60633921#1,-60633921#0,-1107401572,-868812839#6,-868812839#4,-868812839#3,-868812839#2,-868812839#1,-1226745803#1,-868812840#1,-868812840#0,382329291,51821547#0,51821547#2,51821547#3,23735209,23735104,23735095#0,23735095#2,23735095#3,23735095#4,23735091,988736350,988822530,1152783649,652870334#0,652870334#2,652870334#3,1152783645#0,1152783645#1,-1152783655,48796650#0,48796650#1,560544697#0,560544696#0,560544696#1,560544696#2,48796685#0,48796685#1,382329290#0,382329290#1,807975479,807975480#1,599926490,807975478,-560544694#2,599926489,23755936,640701960#0,-47335626#5,-47335626#4,-47335626#3,-47335626#2,-47335626#1,-47335626#0,-560550386#0,-23755759#4",6.9769680813885895,115.0,4976.85271165072,43.5672,0.874547386404893,0.0,0.0,0.0,0.31159120750579733,0.028943364147074428,0.08006395631917096,0.0,0.5493521138307571,0.46092614643104635,132.20279986333756,42.0,4.0,0.0,10.696023910535024,29.988000000000007,17.0,192.0,8.0
60681217#0,-23755759#4,"60681217#0,60681217#1,924729047#0,924729047#1,924729047#2,924729047#3,869772914,560656098#0,560656098#1,560656098#2,560656098#3,560656098#4,560656098#5,60681215#0,60681215#1,60681215#2,60681215#3,60681215#4,60681215#5,1155841369,1157076151,1157076152,1155841370,1157076153,60681232#0,60681232#1,60681232#2,60681232#3,-60681226#6,-60681226#5,-60681226#4,-60681226#3,-60681226#2,-60681226#1,-60681226#0,550900600#0,550900600#1,550900600#2,550900600#3,365878432#0,365878432#1,365878432#2,365878432#3,365878432#4,365878432#5,550900601,924947801#1,60681193,-60633872#0,-60633892,-60633916#1,-60633916#0,60633934#0,60633934#1,60633934#2,60633934#3,924947804,-60633921#1,-60633921#0,-1107401572,-868812839#6,-868812839#4,-868812839#3,-868812839#2,-868812839#1,-1226745803#1,-868812840#1,-868812840#0,382329291,51821547#0,51821547#2,51821547#3,23735209,23735104,23735095#0,23735095#2,23735095#3,23735095#4,23735091,988736350,988822530,1152783649,652870334#0,652870334#2,652870334#3,1152783645#0,1152783645#1,-1152783655,48796650#0,48796650#1,48796684#0,48796684#3,-331909108#0,-367155342#1,-367155342#0,48815532#0,367155347#0,1091359192#2,1091359174,156792596#0,156792596#1,331909095,1091359173#1,1091359173#2,1200873919,331909102#0,331909102#1,331909102#2,48815524,48815525#0,796946995,683556009,-674374315#1,674374315#0,-674374315#1,-560550386#1,-560550386#0,-23755759#4",7.001083659945429,118.0,5347.126331080312,45.045846153846156,0.9226401170969759,0.0,0.0,0.0,0.3086024414645036,0.054762798019007054,0.07451975013129085,0.0,0.5341464866273382,0.39993008713030226,133.04345659025256,43.0,4.0,0.0,10.053957937922092,29.988000000000007,21.0,142.0,7.0
-48815467,-48815518#0,"-48815467,-45734866#3,45734866#3,48815467,48815518#0,-48815518#0",1.0909161360728596,6.0,742.0638743568067,36.660000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.6564204353924,4.0,0.0,0.0,10.336217954358357,20.016000000000005,0.0,0.0,0.0
